Function Name,Description
ABS,ABS: Math and trigonometry:Returns the absolute value of a number
ACCRINT,ACCRINT: Financial:Returns the accrued interest for a security that pays periodic interest
ACCRINTM,ACCRINTM: Financial:Returns the accrued interest for a security that pays interest at maturity
ACOS,ACOS: Math and trigonometry:Returns the arccosine of a number
ACOSH,ACOSH: Math and trigonometry:Returns the inverse hyperbolic cosine of a number
ACOT,ACOT: Math and trigonometry:Returns the arccotangent of a number
ACOTH,ACOTH: Math and trigonometry:Returns the hyperbolic arccotangent of a number
AGGREGATE,AGGREGATE: Math and trigonometry:Returns an aggregate in a list or database
ADDRESS,ADDRESS: Lookup and reference:Returns a reference as text to a single cell in a worksheet
AMORDEGRC,AMORDEGRC: Financial:Returns the depreciation for each accounting period by using a depreciation coefficient
AMORLINC,AMORLINC: Financial:Returns the depreciation for each accounting period
AND,AND: Logical:Returns TRUE if all of its arguments are TRUE
ARABIC,"ARABIC: Math and trigonometry:Converts a Roman number to Arabic, as a number"
AREAS,AREAS: Lookup and reference:Returns the number of areas in a reference
ARRAYTOTEXT,ARRAYTOTEXT: Text:Returns an array of text values from any specified range
ASC,ASC: Text:Changes full-width (double-byte) English letters or katakana within a character string to half-width (single-byte) characters
ASIN,ASIN: Math and trigonometry:Returns the arcsine of a number
ASINH,ASINH: Math and trigonometry:Returns the inverse hyperbolic sine of a number
ATAN,ATAN: Math and trigonometry:Returns the arctangent of a number
ATAN2,ATAN2: Math and trigonometry:Returns the arctangent from x- and y-coordinates
ATANH,ATANH: Math and trigonometry:Returns the inverse hyperbolic tangent of a number
AVEDEV,AVEDEV: Statistical:Returns the average of the absolute deviations of data points from their mean
AVERAGE,AVERAGE: Statistical:Returns the average of its arguments
AVERAGEA,"AVERAGEA: Statistical:Returns the average of its arguments, including numbers, text, and logical values"
AVERAGEIF,AVERAGEIF: Statistical:Returns the average (arithmetic mean) of all the cells in a range that meet a given criteria
AVERAGEIFS,AVERAGEIFS: Statistical:Returns the average (arithmetic mean) of all cells that meet multiple criteria.
BAHTTEXT,"BAHTTEXT: Text:Converts a number to text, using the ß (baht) currency format"
BASE,BASE: Math and trigonometry:Converts a number into a text representation with the given radix (base)
BESSELI,BESSELI: Engineering:Returns the modified Bessel function In(x)
BESSELJ,BESSELJ: Engineering:Returns the Bessel function Jn(x)
BESSELK,BESSELK: Engineering:Returns the modified Bessel function Kn(x)
BESSELY,BESSELY: Engineering:Returns the Bessel function Yn(x)
BETADIST,BETADIST: Compatibility:Returns the beta cumulative distribution function
BETA.DIST,BETA.DIST: Statistical:Returns the beta cumulative distribution function
BETAINV,BETAINV: Compatibility:Returns the inverse of the cumulative distribution function for a specified beta distribution
BETA.INVn,BETA.INVn: Statistical:Returns the inverse of the cumulative distribution function for a specified beta distribution
BIN2DEC,BIN2DEC: Engineering:Converts a binary number to decimal
BIN2HEX,BIN2HEX: Engineering:Converts a binary number to hexadecimal
BIN2OCT,BIN2OCT: Engineering:Converts a binary number to octal
BINOMDIST,BINOMDIST: Compatibility:Returns the individual term binomial distribution probability
BINOM.DIST,BINOM.DIST: Statistical:Returns the individual term binomial distribution probability
BINOM.DIST.RANGE,BINOM.DIST.RANGE: Statistical:Returns the probability of a trial result using a binomial distribution
BINOM.INV,BINOM.INV: Statistical:Returns the smallest value for which the cumulative binomial distribution is less than or equal to a criterion value
BITAND,BITAND: Engineering:Returns a 'Bitwise And' of two numbers
BITLSHIFT,BITLSHIFT: Engineering:Returns a value number shifted left by shift_amount bits
BITOR,BITOR: Engineering:Returns a bitwise OR of 2 numbers
BITRSHIFT,BITRSHIFT: Engineering:Returns a value number shifted right by shift_amount bits
BITXOR,BITXOR: Engineering:Returns a bitwise 'Exclusive Or' of two numbers
BYCOL,BYCOL: Logical:Applies a LAMBDA to each column and returns an array of the results
BYROW,BYROW: Logical:Applies a LAMBDA to each row and returns an array of the results
CALL,CALL: Add-in and Automation:Calls a procedure in a dynamic link library or code resource
CEILING,CEILING: Compatibility:Rounds a number to the nearest integer or to the nearest multiple of significance
CEILING.MATH,"CEILING.MATH: Math and trigonometry:Rounds a number up, to the nearest integer or to the nearest multiple of significance"
CEILING.PRECISE,"CEILING.PRECISE: Math and trigonometry:Rounds a number the nearest integer or to the nearest multiple of significance. Regardless of the sign of the number, the number is rounded up."
CELL,"CELL: Information:Returns information about the formatting, location, or contents of a cellThis function is not available in Excel for the web."
CHAR,CHAR: Text:Returns the character specified by the code number
CHIDIST,CHIDIST: Compatibility:Returns the one-tailed probability of the chi-squared distribution
CHIINV,CHIINV: Compatibility:Returns the inverse of the one-tailed probability of the chi-squared distribution
CHITEST,CHITEST: Compatibility:Returns the test for independence
CHISQ.DIST,CHISQ.DIST: Statistical:Returns the cumulative beta probability density function
CHISQ.DIST.RT,CHISQ.DIST.RT: Statistical:Returns the one-tailed probability of the chi-squared distribution
CHISQ.INV,CHISQ.INV: Statistical:Returns the cumulative beta probability density function
CHISQ.INV.RT,CHISQ.INV.RT: Statistical:Returns the inverse of the one-tailed probability of the chi-squared distribution
CHISQ.TEST,CHISQ.TEST: Statistical:Returns the test for independence
CHOOSE,CHOOSE: Lookup and reference:Chooses a value from a list of values
CHOOSECOLS,CHOOSECOLS: Lookup and reference:Returns the specified columns from an array
CHOOSEROWS,CHOOSEROWS: Lookup and reference:Returns the specified rows from an array
CLEAN,CLEAN: Text:Removes all nonprintable characters from text
CODE,CODE: Text:Returns a numeric code for the first character in a text string
COLUMN,COLUMN: Lookup and reference:Returns the column number of a reference
COLUMNS,COLUMNS: Lookup and reference:Returns the number of columns in a reference
COMBIN,COMBIN: Math and trigonometry:Returns the number of combinations for a given number of objects
COMBINA,COMBINA: Math and trigonometry:Returns the number of combinations with repetitions for a given number of items
COMPLEX,COMPLEX: Engineering:Converts real and imaginary coefficients into a complex number
CONCAT,"CONCAT: Text:Combines the text from multiple ranges and/or strings, but it doesn't provide the delimiter or IgnoreEmpty arguments."
CONCATENATE,CONCATENATE: Text:Joins several text items into one text item
CONFIDENCE,CONFIDENCE: Compatibility:Returns the confidence interval for a population mean
CONFIDENCE.NORM,CONFIDENCE.NORM: Statistical:Returns the confidence interval for a population mean
CONFIDENCE.T,"CONFIDENCE.T: Statistical:Returns the confidence interval for a population mean, using a Student's t distribution"
CONVERT,CONVERT: Engineering:Converts a number from one measurement system to another
COPILOT,"COPILOT: Text:Categorize, summarize, and generate text using Copilot"
(Premium Copilot feature,"(Premium Copilot feature: Text:Categorize, summarize, and generate text using Copilot"
Beta),"Beta): Text:Categorize, summarize, and generate text using Copilot"
CORREL,CORREL: Statistical:Returns the correlation coefficient between two data sets
COS,COS: Math and trigonometry:Returns the cosine of a number
COSH,COSH: Math and trigonometry:Returns the hyperbolic cosine of a number
COT,COT: Math and trigonometry:Returns the hyperbolic cosine of a number
COTH,COTH: Math and trigonometry:Returns the cotangent of an angle
